Measurement: #3
Date: 2014-08-13T09:49:47.1094708+02:00
MLIC serial number: SN_20255
Comments: 
Calibration info: [2014-08-13 09.43.39]
Background compensation applied: yes
Uniformity calibration applied: yes
Snout dimension: 40 [cm]
Snout distance: 53 [cm]
FieldSize: 10 [cm]
SSD: 203 [cm]
Beam delivery mode: PencilBeamScanning
Sampling time: 10000 [ms]
Number of samples: 1
Measurement mode: SingleShot
Measurement time: (n/a)
Build-up thickness: 0 [cm]
Build-up density: 0 [g/cm^3]
Bragg Peak type: NormalBP
Channel count (active): 180
Channel numbers (active): 1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180
Channel numbers (disabled): 

Curves: 1
Curve depth: [mm]
1.030;2.893;4.756;6.619;8.483;10.346;12.209;14.072;15.935;17.798;19.661;21.524;23.387;25.250;27.113;28.976;30.839;32.702;34.565;36.428;38.291;40.154;42.017;43.880;45.744;47.607;49.470;51.333;53.196;55.059;56.922;58.785;60.648;62.511;64.374;66.237;68.100;69.963;71.826;73.689;75.552;77.415;79.278;81.141;83.005;84.868;86.731;88.594;90.457;92.320;94.183;96.046;97.909;99.772;101.635;103.498;105.361;107.224;109.087;110.950;112.813;114.676;116.539;118.402;120.266;122.129;123.992;125.855;127.718;129.581;131.444;133.307;135.170;137.033;138.896;140.759;142.622;144.485;146.348;148.211;150.074;151.937;153.800;155.663;157.527;159.390;161.253;163.116;164.979;166.842;168.705;170.568;172.431;174.294;176.157;178.020;179.883;181.746;183.609;185.472;187.335;189.198;191.061;192.924;194.788;196.651;198.514;200.377;202.240;204.103;205.966;207.829;209.692;211.555;213.418;215.281;217.144;219.007;220.870;222.733;224.596;226.459;228.322;230.185;232.049;233.912;235.775;237.638;239.501;241.364;243.227;245.090;246.953;248.816;250.679;252.542;254.405;256.268;258.131;259.994;261.857;263.720;265.583;267.446;269.310;271.173;273.036;274.899;276.762;278.625;280.488;282.351;284.214;286.077;287.940;289.803;291.666;293.529;295.392;297.255;299.118;300.981;302.844;304.707;306.571;308.434;310.297;312.160;314.023;315.886;317.749;319.612;321.475;323.338;325.201;327.064;328.927;330.790;332.653;334.516
Curve gains: [counts]
4225.419;4230.738;4237.932;4257.896;4293.447;4319.245;4340.044;4364.260;4386.336;4407.637;4435.246;4458.354;4479.762;4501.658;4517.796;4536.260;4557.649;4571.488;4583.280;4588.033;4609.552;4615.836;4630.797;4643.554;4645.675;4655.803;4664.657;4676.807;4683.543;4692.015;4701.417;4712.543;4716.746;4726.111;4726.039;4735.262;4745.377;4753.277;4758.424;4764.031;4774.118;4778.869;4782.445;4787.383;4796.092;4804.101;4810.658;4817.291;4824.842;4824.825;4833.239;4838.359;4851.969;4859.047;4859.526;4867.130;4871.273;4877.519;4886.394;4892.813;4903.573;4900.663;4916.688;4922.570;4931.963;4933.180;4940.203;4954.555;4962.050;4970.430;4974.923;4979.265;4994.987;4999.247;5008.663;5019.312;5030.465;5035.921;5049.010;5061.823;5068.922;5082.785;5094.307;5085.182;5114.850;5124.292;5136.710;5152.012;5159.836;5175.902;5186.320;5200.392;5210.895;5229.425;5242.994;5257.968;5270.165;5291.355;5300.901;5321.460;5335.442;5357.379;5367.882;5399.727;5407.540;5431.472;5455.896;5477.526;5494.162;5520.889;5540.931;5568.092;5589.543;5618.761;5639.899;5679.027;5696.029;5730.348;5759.297;5799.704;5824.682;5859.643;5896.917;5933.135;5966.923;6015.104;6055.625;6103.750;6149.900;6197.994;6244.153;6302.060;6354.071;6418.717;6483.436;6554.757;6616.496;6699.231;6775.478;6866.251;6953.710;7053.635;7149.903;7260.885;7372.627;7511.552;7652.887;7824.513;8007.492;8214.344;8437.482;8695.931;8968.978;9290.459;9659.772;10087.881;10617.743;11251.432;12051.386;13005.757;14085.924;15013.486;15285.166;14213.678;11507.074;7985.858;4619.088;2153.198;790.380;223.783;54.065;18.864;12.988;11.048;10.456;8.770;7.132;8.470;6.265;8.068

Samples: 1
4413.167;4532.833;3463.667;4504.333;5423.667;4200.000;3576.333;5282.167;5402.333;3844.167;4678.500;5884.833;4535.667;5137.167;4877.000;4478.500;4582.500;6080.500;5319.500;4233.667;5338.000;4970.500;5617.000;3855.500;4937.667;4335.500;4941.500;4616.667;4909.667;4929.500;4779.833;5213.833;4528.000;5107.833;4835.833;4570.833;5791.833;4708.833;4609.167;5331.667;4794.833;5036.000;5195.667;5005.833;5190.333;5029.833;6042.000;4637.667;5281.667;5655.667;4996.833;5433.833;5390.667;5475.167;4655.333;5635.333;5448.167;4659.833;6006.667;5445.500;5775.333;2754.167;6008.500;4948.667;5497.167;4261.667;6323.167;4101.000;5002.333;7057.000;3636.667;4685.833;5662.167;6209.833;4736.333;4651.000;5702.167;4544.167;5726.833;5533.833;4487.500;5958.167;5680.667;5512.000;5768.333;4991.500;5915.500;5346.333;5692.333;6139.667;5821.500;4992.500;6788.667;4314.333;6336.500;5344.333;5801.833;4997.167;6336.167;4536.667;5349.167;5345.333;5219.667;7149.833;4656.833;5981.167;5566.833;5853.667;5988.000;5358.333;6030.333;6354.500;5752.000;5534.000;5926.500;6155.667;5834.667;6111.833;6137.000;5725.833;6027.333;6542.000;6206.333;5852.833;5992.500;6057.167;6213.167;5602.833;7100.333;5499.500;7075.833;6761.833;6813.333;6154.500;6762.167;6302.833;6718.500;6122.667;7157.333;6727.500;8193.333;6417.667;8296.167;7621.167;7153.333;7977.333;8908.000;7935.167;9139.500;7350.167;9774.167;8699.000;10590.667;8467.667;10677.000;10430.000;12774.333;11892.500;13289.000;14605.167;18163.500;13869.333;15386.167;16448.667;10639.167;9173.167;5405.333;2447.333;675.667;122.000;72.000;19.833;12.500;12.167;12.000;11.667;12.167;11.167;8.833;9.500
