Measurement: #1
Date: 2014-08-13T09:48:05.9039444+02:00
MLIC serial number: SN_20255
Comments: 
Calibration info: [2014-08-13 09.43.39]
Background compensation applied: yes
Uniformity calibration applied: yes
Snout dimension: 40 [cm]
Snout distance: 53 [cm]
FieldSize: 10 [cm]
SSD: 203 [cm]
Beam delivery mode: PencilBeamScanning
Sampling time: 10000 [ms]
Number of samples: 1
Measurement mode: SingleShot
Measurement time: (n/a)
Build-up thickness: 0 [cm]
Build-up density: 0 [g/cm^3]
Bragg Peak type: NormalBP
Channel count (active): 180
Channel numbers (active): 1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180
Channel numbers (disabled): 

Curves: 1
Curve depth: [mm]
1.030;2.893;4.756;6.619;8.483;10.346;12.209;14.072;15.935;17.798;19.661;21.524;23.387;25.250;27.113;28.976;30.839;32.702;34.565;36.428;38.291;40.154;42.017;43.880;45.744;47.607;49.470;51.333;53.196;55.059;56.922;58.785;60.648;62.511;64.374;66.237;68.100;69.963;71.826;73.689;75.552;77.415;79.278;81.141;83.005;84.868;86.731;88.594;90.457;92.320;94.183;96.046;97.909;99.772;101.635;103.498;105.361;107.224;109.087;110.950;112.813;114.676;116.539;118.402;120.266;122.129;123.992;125.855;127.718;129.581;131.444;133.307;135.170;137.033;138.896;140.759;142.622;144.485;146.348;148.211;150.074;151.937;153.800;155.663;157.527;159.390;161.253;163.116;164.979;166.842;168.705;170.568;172.431;174.294;176.157;178.020;179.883;181.746;183.609;185.472;187.335;189.198;191.061;192.924;194.788;196.651;198.514;200.377;202.240;204.103;205.966;207.829;209.692;211.555;213.418;215.281;217.144;219.007;220.870;222.733;224.596;226.459;228.322;230.185;232.049;233.912;235.775;237.638;239.501;241.364;243.227;245.090;246.953;248.816;250.679;252.542;254.405;256.268;258.131;259.994;261.857;263.720;265.583;267.446;269.310;271.173;273.036;274.899;276.762;278.625;280.488;282.351;284.214;286.077;287.940;289.803;291.666;293.529;295.392;297.255;299.118;300.981;302.844;304.707;306.571;308.434;310.297;312.160;314.023;315.886;317.749;319.612;321.475;323.338;325.201;327.064;328.927;330.790;332.653;334.516
Curve gains: [counts]
4234.993;4232.605;4245.274;4267.349;4301.363;4328.500;4350.966;4370.870;4392.832;4414.517;4442.831;4464.415;4488.651;4506.915;4527.059;4542.337;4565.606;4575.999;4588.449;4590.200;4612.143;4621.408;4632.446;4645.963;4650.379;4657.951;4671.265;4679.846;4688.313;4692.015;4702.400;4709.831;4713.621;4725.186;4728.971;4737.334;4738.003;4750.248;4750.165;4754.202;4766.153;4768.431;4776.002;4781.644;4787.776;4800.280;4802.696;4807.942;4814.793;4814.588;4820.664;4825.003;4838.468;4837.747;4845.956;4844.674;4853.391;4856.584;4867.684;4873.945;4881.498;4873.973;4888.048;4896.707;4903.254;4905.398;4910.514;4929.184;4929.315;4937.326;4943.459;4947.386;4956.171;4958.189;4970.593;4978.303;4986.355;4992.700;5000.520;5010.600;5018.091;5025.629;5037.810;5027.061;5055.441;5065.776;5074.189;5088.411;5090.039;5103.402;5114.157;5121.227;5136.440;5149.426;5164.388;5169.423;5184.779;5200.292;5212.221;5225.274;5236.696;5251.140;5266.071;5285.688;5297.225;5308.879;5331.427;5350.265;5364.791;5384.884;5403.105;5420.007;5436.977;5460.372;5479.072;5505.584;5525.187;5542.832;5569.729;5597.123;5618.844;5642.885;5673.633;5697.952;5727.948;5759.889;5793.446;5822.684;5858.010;5888.066;5928.232;5960.946;6000.618;6043.262;6090.335;6134.609;6175.298;6228.738;6282.274;6338.588;6395.263;6453.528;6517.318;6578.733;6639.831;6718.715;6793.784;6882.830;6978.902;7077.773;7191.822;7305.422;7420.889;7543.766;7681.134;7827.538;8004.520;8203.115;8423.909;8669.070;8950.515;9273.014;9642.452;10072.799;10611.529;11320.131;12284.337;13545.028;15082.720;16440.720;16747.304;15120.268;11589.635;7113.243;3456.716;1282.880;358.843;119.210;28.252;15.712

Samples: 1
4423.167;4534.833;3469.667;4514.333;5433.667;4209.000;3585.333;5290.167;5410.333;3850.167;4686.500;5892.833;4544.667;5143.167;4887.000;4484.500;4590.500;6086.500;5325.500;4235.667;5341.000;4976.500;5619.000;3857.500;4942.667;4337.500;4948.500;4619.667;4914.667;4929.500;4780.833;5210.833;4525.000;5106.833;4838.833;4572.833;5782.833;4705.833;4601.167;5320.667;4786.833;5025.000;5188.667;4999.833;5181.333;5025.833;6032.000;4628.667;5270.667;5643.667;4983.833;5418.833;5375.667;5451.167;4642.333;5609.333;5428.167;4639.833;5983.667;5424.500;5749.333;2739.167;5973.500;4922.667;5465.167;4237.667;6285.167;4080.000;4969.333;7010.000;3613.667;4655.833;5618.167;6158.833;4700.333;4613.000;5652.167;4505.167;5671.833;5477.833;4442.500;5891.167;5617.667;5449.000;5701.333;4934.500;5843.500;5280.333;5615.333;6053.667;5740.500;4916.500;6691.667;4248.333;6241.500;5254.333;5707.833;4911.167;6230.167;4454.667;5250.167;5239.333;5120.667;6998.833;4561.833;5846.167;5439.833;5717.667;5847.000;5226.333;5880.333;6185.500;5595.000;5378.000;5757.500;5967.667;5659.667;5911.833;5935.000;5525.833;5814.333;6300.000;5971.333;5620.833;5752.500;5800.167;5944.167;5344.833;6763.333;5224.500;6717.833;6395.833;6434.333;5794.500;6352.167;5898.833;6270.500;5692.667;6636.333;6210.500;7535.333;5871.667;7562.167;6905.167;6442.333;7135.333;7908.000;6980.167;7965.500;6333.167;8331.167;7308.000;8762.667;6875.667;8490.000;8093.000;9630.333;8670.500;9289.000;9735.167;11541.500;8566.333;9706.167;11656.667;9811.167;13003.167;14375.333;15395.333;12893.667;8963.000;22303.000;15896.833;11154.500;7833.167;3967.000;1706.667;612.167;157.167;39.833;18.500
